spend_category_options,target_channel_options
Affiliate Network,16 Trương Định
Affiliate Partner,CS
Công tác phí,Chiaki
In ấn POSM,Chợ sỉ
Internal Event,FaceBookFJPTViet
KOLs Booking,FaceBookJPC
KOLs Production,Facebook
Media Facebook,Gosumo
Media Google,GrabMart
Media Khác,Hậu Giang
Media Lazada,Instagram
Media Shopee,Lazada
Media TikTok,Lazada - FG CARE
PR Booking,Lazada - FINE WORLD GROUP
Production Content,Lazada - Fine Care
Production Image,Lazada - Fine Japan Vietnam
Production Model,Lazada - Fine Japan store
Production Video,Lazada - JPC SHOP
Seeding,Lazada - The Healthy Us
Software CRM,Leflair
Software Data,MM Market An Phú
Software Design,Other
Software Marketing,POPS
Team Bonus,Pos - 16 Trương Định
Thi công POSM,Pos - Hậu Giang
Thiết kế POSM,Pos - MM Market An Phú
Training,Pos - ShowroomVVT
,Pos - TheHealthyUs
,Quà Tặng
,Selly
,Sendo
,Shopee
,Shopee - FG CARE
,Shopee - FINE WORLD GROUP
,Shopee - FWG Vietnam
,Shopee - Fine Care
,Shopee - Fine Japan Vietnam
,Shopee - JPC OFFICIAL
,Shopee - JPC SHOP
,Shopee - thehealthyus
,ShowroomVVT
,Telesale
,Test Sản Phẩm
,TheHealthyUs
,Tiki
,Tiki - FG GLOBAL
,Tiki - FINE WORLD GROUP
,Tiki Cross Border
,TiktokShop
,US
,Web
,WebOrder
,Zalo
,Đại Lý
,Ưu đãi Nhân Viên
